id,timestamp,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
225,2026-05-20 16:17:28.782,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0
226,2026-05-20 16:17:28.793,0,0,0,58,0,0,0,1,3,0,0,0,0,EB,8,0D
227,2026-05-20 16:17:28.985,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0
228,2026-05-20 16:17:29.198,EE,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0
229,2026-05-20 16:17:29.416,0,0,0,E9,8,0D,0A,0D,0,0,0,0,58,0,0,0
230,2026-05-20 16:17:29.615,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58
231,2026-05-20 16:17:29.831,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0
232,2026-05-20 16:17:29.839,0,0,58,0,0,0,1,3,0,0,0,0,EE,8,0D,0A
233,2026-05-20 16:17:30.049,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0,EE
234,2026-05-20 16:17:30.257,8,0D,0A,0D,0,0,0,0,57,0,0,0,1,3,0,0
235,2026-05-20 16:17:30.465,0,0,EE,8,0D,0A,0D,0,0,0,0,58,0,0,0,1
236,2026-05-20 16:17:30.672,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,57,0
237,2026-05-20 16:17:30.882,0,0,1,3,0,0,0,0,E9,8,0D,0A,0D,0,0,0
238,2026-05-20 16:17:31.089,0,58,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D
239,2026-05-20 16:17:31.113,0,0,0,0,58,0,0,0,1,3,0,0,0,0,EB,8
240,2026-05-20 16:17:31.310,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0
241,2026-05-20 16:17:31.517,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0,0,1,3
242,2026-05-20 16:17:31.716,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,58,0,0
243,2026-05-20 16:17:31.933,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0
244,2026-05-20 16:17:32.132,58,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0
245,2026-05-20 16:17:32.152,0,0,0,58,0,0,0,1,3,0,0,0,0,EE,8,0D
246,2026-05-20 16:17:32.357,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0,0
247,2026-05-20 16:17:32.565,EB,8,0D,0A,0D,0,0,0,0,59,0,0,0,1,3,0
248,2026-05-20 16:17:32.778,0,0,0,EB,8,0D,0A,0D,0,0,0,0,59,0,0,0
249,2026-05-20 16:17:32.984,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,59
250,2026-05-20 16:17:33.190,0,0,0,1,3,0,0,0,0,EE,8,0D,0A,0D,0,0
251,2026-05-20 16:17:33.199,0,0,59,0,0,0,1,3,0,0,0,0,EB,8,0D,0A
252,2026-05-20 16:17:33.408,0D,0,0,0,0,59,0,0,0,1,3,0,0,0,0,EB
253,2026-05-20 16:17:33.622,8,0D,0A,0D,0,0,0,0,59,0,0,0,1,3,0,0
254,2026-05-20 16:17:33.817,0,0,EB,8,0D,0A,0D,0,0,0,0,59,0,0,0,1
255,2026-05-20 16:17:34.033,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0,0,59,0
256,2026-05-20 16:17:34.233,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D,0,0,0
257,2026-05-20 16:17:34.448,0,59,0,0,0,1,3,0,0,0,0,EB,8,0D,0A,0D
258,2026-05-20 16:17:34.471,0,0,0,0,59,0,0,0,1,3,0,0,0,0,EB,8
259,2026-05-20 16:17:34.674,0D,0A,0D,0,0,0,0,58,0,0,0,1,3,0,0,0
